"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\ReelPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 42, 238
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreatePhotoStoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 35, 26, 169
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateStoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\CreateTextStoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 20, 157
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\StoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 26, 100
"c:\TPA\TPA-Web\tpa-web-frontend\src\provider\ApolloProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\TPA\TPA-Web\tpa-web-frontend\src\provider\FirebaseProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 7, 3, 23
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\PostQuery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 6, 173
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\ReelQuery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 7, 235
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\StoryQuery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\UserQuery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 14, 162
"c:\TPA\TPA-Web\tpa-web-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\TPA\TPA-Web\tpa-web-frontend\tsconfig.node.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\TPA\TPA-Web\tpa-web-frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 18, 21, 11599, 19, 5, 13, 3128, 3058, 96, 397, 1465, 19819
